hierarchy	codingscheme	affiliation	battledimension	status	functionid	name	remarks
GRDTRK.EQT.GRDVEH.ENGVEH.DZR 	S	*	G	*	EVED--	DOZER
GRDTRK.EQT.GRDVEH.ENGVEH.DZR.ARMD 	S	*	G	*	EVEDA-	ARMORED DOZER
GRDTRK.EQT.GRDVEH.ENGVEH.AST 	S	*	G	*	EVES--	ARMORED ASSAULT
GRDTRK.EQT.GRDVEH.ENGVEH.ARMERV 	S	*	G	*	EVER--	ARMORED ENGINEER RECON VEHICLE (AERV)
GRDTRK.EQT.GRDVEH.ENGVEH.BH 	S	*	G	*	EVEH--	BACKHOE
GRDTRK.EQT.GRDVEH.ENGVEH.FRYTSP 	S	*	G	*	EVEF--	FERRY TRANSPORTER
GRDTRK.EQT.GRDVEH.TRNLCO 	S	*	G	*	EVT---	TRAIN LOCOMOTIVE
GRDTRK.EQT.GRDVEH.CVLVEH 	S	*	G	*	EVC---	CIVILIAN VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.AUT 	S	*	G	*	EVCA--	AUTOMOBILE
GRDTRK.EQT.GRDVEH.CVLVEH.AUT.CPCT 	S	*	G	*	EVCAL-	COMPACT AUTOMOBILE
GRDTRK.EQT.GRDVEH.CVLVEH.AUT.MDSZ 	S	*	G	*	EVCAM-	MIDSIZE AUTOMOBILE
GRDTRK.EQT.GRDVEH.CVLVEH.AUT.SDN 	S	*	G	*	EVCAH-	SEDAN AUTOMOBILE
GRDTRK.EQT.GRDVEH.CVLVEH.OBTRK 	S	*	G	*	EVCO--	OPEN-BED TRUCK
GRDTRK.EQT.GRDVEH.CVLVEH.OBTRK.PU 	S	*	G	*	EVCOL-	PICKUP OPEN-BED TRUCK
GRDTRK.EQT.GRDVEH.CVLVEH.OBTRK.SMAL 	S	*	G	*	EVCOM-	SMALL OPEN-BED TRUCK
GRDTRK.EQT.GRDVEH.CVLVEH.OBTRK.LRG 	S	*	G	*	EVCOH-	LARGE OPEN-BED TRUCK
GRDTRK.EQT.GRDVEH.CVLVEH.MPV 	S	*	G	*	EVCM--	MULTIPLE PASSENGER VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.MPV.VAN 	S	*	G	*	EVCML-	VAN MULTIPLE PASSENGER VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.MPV.SBUS 	S	*	G	*	EVCMM-	SMALL BUS MULTIPLE PASSENGER VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.MPV.LBUS 	S	*	G	*	EVCMH-	LARGE BUS MULTIPLE PASSENGER VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.UTYVEH 	S	*	G	*	EVCU--	UTILITY VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.UTYVEH.SUV 	S	*	G	*	EVCUL-	SPORT UTILITY VEHICLE (SUV), UTILITY VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.UTYVEH.SBOX 	S	*	G	*	EVCUM-	SMALL BOX TRUCK, UTILITY VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.UTYVEH.LBOX 	S	*	G	*	EVCUH-	LARGE BOX TRUCK, UTILITY VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.JP 	S	*	G	*	EVCJ--	JEEP TYPE VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.JP.SMAL 	S	*	G	*	EVCJL-	SMALL/LIGHT JEEP TYPE VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.JP.MDM 	S	*	G	*	EVCJM-	MEDIUM JEEP TYPE VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.JP.LRG 	S	*	G	*	EVCJH-	LARGE/HEAVY JEEP TYPE VEHICLE
GRDTRK.EQT.GRDVEH.CVLVEH.TRTRL 	S	*	G	*	EVCT--	TRACTOR TRAILER TRUCK WITH BOX TRAILER
GRDTRK.EQT.GRDVEH.CVLVEH.TRTRL.SMAL 	S	*	G	*	EVCTL-	SMALL/LIGHT BOX TRAILER, TRACTOR TRAILER TRUCK
GRDTRK.EQT.GRDVEH.CVLVEH.TRTRL.MDM 	S	*	G	*	EVCTM-	MEDIUM BOX TRAILER, TRACTOR TRAILER TRUCK
GRDTRK.EQT.GRDVEH.CVLVEH.TRTRL.LRG 	S	*	G	*	EVCTH-	LARGE/HEAVY BOX TRAILER, TRACTOR TRAILER TRUCK
GRDTRK.EQT.GRDVEH.CVLVEH.TRTRLF 	S	*	G	*	EVCF--	TRACTOR TRAILER TRUCK WITH FLATBED TRAILER
GRDTRK.EQT.GRDVEH.CVLVEH.TRTRLF.SMAL 	S	*	G	*	EVCFL-	SMALL/LIGHT FLATBED TRAILER, TRACTOR TRAILER TRUCK
GRDTRK.EQT.GRDVEH.CVLVEH.TRTRLF.MDM 	S	*	G	*	EVCFM-	MEDIUM FLATBED TRAILER, TRACTOR TRAILER TRUCK
GRDTRK.EQT.GRDVEH.CVLVEH.TRTRLF.LRG 	S	*	G	*	EVCFH-	LARGE/HEAVY FLATBED TRAILER, TRACTOR TRAILER TRUCK
GRDTRK.EQT.GRDVEH.PKAN 	S	*	G	*	EVM---	PACK ANIMAL(S)
GRDTRK.EQT.GRDVEH.MSLSPT 	S	*	G	*	EVS---	MISSILE SUPPORT VEHICLE
GRDTRK.EQT.GRDVEH.MSLSPT.TLDR 	S	*	G	*	EVST--	MISSILE SUPPORT VEHICLE TRANSLOADER
GRDTRK.EQT.GRDVEH.MSLSPT.TPTR 	S	*	G	*	EVSR--	MISSILE SUPPORT VEHICLE TRANSPORTER
GRDTRK.EQT.GRDVEH.MSLSPT.CRN 	S	*	G	*	EVSC--	MISSILE SUPPORT VEHICLE CRANE/LOADING DEVICE
GRDTRK.EQT.GRDVEH.MSLSPT.PLNT 	S	*	G	*	EVSP--	MISSILE SUPPORT VEHICLE PROPELLANT TRANSPORTER
GRDTRK.EQT.GRDVEH.MSLSPT.WH 	S	*	G	*	EVSW--	MISSILE SUPPORT VEHICLE WARHEAD TRANSPORTER
GRDTRK.EQT.SNS 	S	*	G	*	ES----	SENSOR
GRDTRK.EQT.SNS.RAD 	S	*	G	*	ESR---	RADAR
GRDTRK.EQT.SNS.EMP 	S	*	G	*	ESE---	EMPLACED SENSOR
GRDTRK.EQT.SPL 	S	*	G	*	EX----	SPECIAL EQUIPMENT	N/A
GRDTRK.EQT.SPL.IED 	S	*	G	*	EXI---	IMPROVISED EXPLOSIVE DEVICE
GRDTRK.EQT.SPL.LSR 	S	*	G	*	EXL---	LASER
GRDTRK.EQT.SPL.CBRNEQ 	S	*	G	*	EXN---	CBRN EQUIPMENT
GRDTRK.EQT.SPL.FLMTHR 	S	*	G	*	EXF---	FLAME THROWER
GRDTRK.EQT.SPL.LNDMNE 	S	*	G	*	EXM---	LAND MINES
GRDTRK.EQT.SPL.LNDMNE.CLM 	S	*	G	*	EXMC--	CLAYMORE
GRDTRK.EQT.SPL.LNDMNE.LTL 	S	*	G	*	EXML--	LESS THAN LETHAL
GRDTRK.INS 	S	*	G	*	I-----	INSTALLATION
GRDTRK.INS.RMP 	S	*	G	*	IR----	RAW MATERIAL PRODUCTION/STORAGE
GRDTRK.INS.RMP.MNE 	S	*	G	*	IRM---	MINE
GRDTRK.INS.RMP.PGO 	S	*	G	*	IRP---	PETROLEUM/GAS/OIL
GRDTRK.INS.RMP.CBRN 	S	*	G	*	IRN---	CBRN
GRDTRK.INS.RMP.CBRN.BIO 	S	*	G	*	IRNB--	BIOLOGICAL
GRDTRK.INS.RMP.CBRN.CML 	S	*	G	*	IRNC--	CHEMICAL
GRDTRK.INS.RMP.CBRN.NUC 	S	*	G	*	IRNN--	NUCLEAR
GRDTRK.INS.PF 	S	*	G	*	IP----	PROCESSING FACILITY
GRDTRK.INS.PF.DECON 	S	*	G	*	IPD---	DECONTAMINATION
GRDTRK.INS.EQTMNF 	S	*	G	*	IE----	EQUIPMENT MANUFACTURE
GRDTRK.INS.SRUF 	S	*	G	*	IU----	SERVICE, RESEARCH, UTILITY FACILITY
GRDTRK.INS.SRUF.TRF 	S	*	G	*	IUR---	TECHNOLOGICAL RESEARCH FACILITY
GRDTRK.INS.SRUF.TCF 	S	*	G	*	IUT---	TELECOMMUNICATIONS FACILITY
GRDTRK.INS.SRUF.EPF 	S	*	G	*	IUE---	ELECTRIC POWER FACILITY
GRDTRK.INS.SRUF.EPF.NPT 	S	*	G	*	IUEN--	NUCLEAR PLANT
GRDTRK.INS.SRUF.EPF.DAM 	S	*	G	*	IUED--	DAM
GRDTRK.INS.SRUF.EPF.FOSF 	S	*	G	*	IUEF--	FOSSIL FUEL
GRDTRK.INS.SRUF.PWS 	S	*	G	*	IUP---	PUBLIC WATER SERVICES
GRDTRK.INS.MMF 	S	*	G	*	IM----	MILITARY MATERIEL FACILITY	N/A
GRDTRK.INS.MMF.NENY 	S	*	G	*	IMF---	NUCLEAR ENERGY
GRDTRK.INS.MMF.NENY.ATMER 	S	*	G	*	IMFA--	ATOMIC ENERGY REACTOR
GRDTRK.INS.MMF.NENY.NMP 	S	*	G	*	IMFP--	NUCLEAR MATERIAL PRODUCTION
GRDTRK.INS.MMF.NENY.NMP.WPNGR 	S	*	G	*	IMFPW-	WEAPONS GRADE
GRDTRK.INS.MMF.NENY.NMS 	S	*	G	*	IMFS--	NUCLEAR MATERIAL STORAGE
GRDTRK.INS.MMF.APA 	S	*	G	*	IMA---	AIRCRAFT PRODUCTION & ASSEMBLY
GRDTRK.INS.MMF.AMEP 	S	*	G	*	IME---	AMMUNITION AND EXPLOSIVES PRODUCTION
GRDTRK.INS.MMF.AMTP 	S	*	G	*	IMG---	ARMAMENT PRODUCTION
GRDTRK.INS.MMF.MILVP 	S	*	G	*	IMV---	MILITARY VEHICLE PRODUCTION
GRDTRK.INS.MMF.ENGEP 	S	*	G	*	IMN---	ENGINEERING EQUIPMENT PRODUCTION
GRDTRK.INS.MMF.ENGEP.BRG 	S	*	G	*	IMNB--	BRIDGE
GRDTRK.INS.MMF.CBWP 	S	*	G	*	IMC---	CHEMICAL & BIOLOGICAL WARFARE PRODUCTION
GRDTRK.INS.MMF.SHPCSN 	S	*	G	*	IMS---	SHIP CONSTRUCTION
GRDTRK.INS.MMF.MSSP 	S	*	G	*	IMM---	MISSILE & SPACE SYSTEM PRODUCTION
GRDTRK.INS.GOVLDR 	S	*	G	*	IG----	GOVERNMENT LEADERSHIP
GRDTRK.INS.MILBF 	S	*	G	*	IB----	MILITARY BASE/FACILITY
GRDTRK.INS.MILBF.AB 	S	*	G	*	IBA---	AIRPORT/AIRBASE
GRDTRK.INS.MILBF.SP 	S	*	G	*	IBN---	SEAPORT/NAVAL BASE
GRDTRK.INS.TSPF 	S	*	G	*	IT----	TRANSPORT FACILITY
GRDTRK.INS.MEDF 	S	*	G	*	IX----	MEDICAL FACILITY
GRDTRK.INS.MEDF.HSP 	S	*	G	*	IXH---	HOSPITAL
